timestamp_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw
120339248.0,-0.0288,0.0103,-1.0615,0.101,0.126,-0.137,179.55258594194015,1.5434105315714635,0.06599964800000369
120352248.0,-0.0312,0.0117,-1.0669,-0.143,0.065,-0.015,179.54699738707214,1.5465761329453036,0.06608529200000368
120365248.0,-0.0273,0.0073,-1.0552,0.284,0.065,-0.259,179.55159913743938,1.545818943727305,0.06299893600000368
120378248.0,-0.0264,0.0078,-1.0664,-0.082,-0.179,0.229,179.55099201396146,1.5406906285428257,0.06625658000000369
120391248.0,-0.0298,0.0068,-1.0605,0.04,0.248,0.168,179.55298517661404,1.5449339497928343,0.06872122400000369
120404248.0,-0.0283,0.0078,-1.0571,-0.021,0.004,-0.076,179.553053737888,1.5444623565643676,0.0680138680000037
120417248.0,-0.0264,0.0088,-1.0649,0.223,0.187,-0.015,179.55521540417556,1.5440637370171537,0.06809951200000369
120430248.0,-0.0303,0.0107,-1.063,0.04,0.187,-0.076,179.5529374625887,1.547924364697308,0.0673921560000037
120443248.0,-0.0293,0.0083,-1.061,-0.265,-0.057,0.168,179.54938951073473,1.547582244450522,0.0698568000000037
120456248.0,-0.0283,0.0103,-1.0649,0.101,0.065,-0.015,179.54845619445607,1.5476096932513022,0.0699424440000037
120469248.0,-0.0283,0.0093,-1.0566,0.101,0.065,0.046,179.54853892448517,1.5478758784532298,0.0708210880000037
120482248.0,-0.0288,0.0068,-1.0674,-0.082,-0.24,-0.259,179.54907436470683,1.5444776711711699,0.0677347320000037
120495248.0,-0.0303,0.0117,-1.0654,-0.021,-0.118,-0.015,179.54509263084543,1.5443704895248593,0.0678203760000037
120508248.0,-0.0293,0.0078,-1.062,0.04,-0.118,0.046,179.5461351933254,1.5432926473915627,0.06869902000000369
120521248.0,-0.0317,0.0088,-1.0669,0.101,0.126,-0.198,179.5468987007002,1.547775166660306,0.0664056640000037
120534248.0,-0.0244,0.0068,-1.064,-0.021,0.065,0.168,179.54822075866284,1.5436277095948343,0.0688703080000037
120547248.0,-0.0288,0.0093,-1.0649,0.162,-0.179,-0.015,179.54916394434102,1.5411635841700042,0.06895595200000369
120560248.0,-0.0269,0.0098,-1.0664,0.04,0.065,-0.076,179.54801082267906,1.5397734217062782,0.0682485960000037
120573248.0,-0.0273,0.0103,-1.0625,-0.021,-0.24,-0.198,179.5455257666018,1.5350623563115589,0.0659552400000037
120586248.0,-0.0273,0.0078,-1.063,0.223,0.37,0.107,179.5488990034651,1.5382036629602207,0.0676268840000037
120599248.0,-0.0298,0.0068,-1.064,-0.082,-0.057,0.046,179.54940391537244,1.5385051916948722,0.0685055280000037
120612248.0,-0.0312,0.0107,-1.0581,-0.082,0.126,-0.198,179.54563451285773,1.5428247884024295,0.0662121720000037
120625248.0,-0.0322,0.0078,-1.061,0.04,-0.057,-0.137,179.54665830567598,1.5457141550145976,0.06471181600000371
120638248.0,-0.0278,0.0068,-1.0581,0.04,0.126,-0.137,179.54872147702685,1.546211361882323,0.06321146000000372
120651248.0,-0.0269,0.0083,-1.0615,0.162,0.065,-0.137,179.5507020470839,1.5448539235145116,0.061711104000003715
120664248.0,-0.0317,0.0083,-1.0635,0.101,0.065,0.29,179.55188271484033,1.5486369490848697,0.06576174800000371
120677248.0,-0.0278,0.0068,-1.0645,-0.021,-0.057,0.107,179.55310853226732,1.5465634043002172,0.06743339200000371
120690248.0,-0.0293,0.0088,-1.063,0.284,0.187,-0.137,179.55602931811848,1.5492974555917844,0.06593303600000372
120703248.0,-0.0288,0.0078,-1.0649,0.101,0.004,-0.198,179.55765320547604,1.549051705447044,0.06363968000000372
120716248.0,-0.0273,0.0063,-1.0596,-0.021,0.248,0.107,179.55927047319412,1.550453584859168,0.06531132400000372
120729248.0,-0.0288,0.0093,-1.061,-0.021,0.248,-0.015,179.55762446195587,1.5534067415058324,0.06539696800000372
120742248.0,-0.0264,0.0122,-1.0552,0.162,0.065,-0.259,179.5551386014404,1.5515349936894651,0.06231061200000372
120755248.0,-0.0293,0.0068,-1.0635,0.101,-0.057,-0.015,179.55784669840685,1.5510466513013053,0.06239625600000372
120768248.0,-0.0259,0.0073,-1.062,0.04,-0.118,-0.015,179.55917366054132,1.546169301144868,0.062481900000003726
120781248.0,-0.0278,0.0142,-1.0605,0.101,0.248,-0.076,179.55378513007935,1.548141527472906,0.06177454400000373
120794248.0,-0.0317,0.0078,-1.0596,-0.082,-0.179,0.046,179.55308050057195,1.5488759581060585,0.06265318800000373
120807248.0,-0.0327,0.0083,-1.0601,0.162,0.065,-0.015,179.5549620579626,1.55376790488703,0.06273883200000373
120820248.0,-0.0322,0.0078,-1.0625,-0.021,0.065,-0.015,179.55503405231215,1.5579436411987577,0.06282447600000372
120833248.0,-0.0298,0.0088,-1.0591,0.04,-0.118,-0.137,179.55477283766453,1.5572211425893054,0.06132412000000372
