t,ax,ay,az,gx,gy,gz
24685244.0,-0.0205,0.002,-1.0625,-0.088,-0.151,0.649
24698244.0,-0.0181,0.0049,-1.0654,-0.149,-0.029,0.71
24711244.0,-0.02,0.001,-1.0674,-0.027,0.093,0.649
24724244.0,-0.0181,0.0044,-1.064,-0.027,-0.151,0.527
24737244.0,-0.021,0.0024,-1.0645,0.218,-0.151,0.588
24750244.0,-0.02,0.0034,-1.062,-0.027,-0.029,0.893
24763244.0,-0.02,0.0005,-1.0635,-0.027,-0.273,0.71
24776244.0,-0.0186,0.0063,-1.0635,-0.271,0.032,0.649
24789244.0,-0.0205,0.0054,-1.0615,0.034,0.093,0.588
24802244.0,-0.0239,0.0078,-1.0615,-0.027,-0.09,0.71
24815244.0,-0.0171,-0.0015,-1.0625,-0.149,0.154,0.649
24828244.0,-0.0264,0.002,-1.0674,0.584,0.154,0.527
24841244.0,-0.0225,0.0059,-1.0581,-0.332,-0.395,0.588
24854244.0,-0.019,0.0029,-1.0571,0.095,0.032,0.832
24867244.0,-0.0205,0.002,-1.0625,0.218,-0.09,0.771
24880244.0,-0.0166,-0.002,-1.0679,0.095,0.215,0.649
24893244.0,-0.0229,0.0024,-1.0684,-0.088,-0.151,0.649
24906244.0,-0.0195,0.0034,-1.0596,-0.149,-0.151,0.71
24919244.0,-0.019,0.0039,-1.0713,0.034,-0.395,0.771
24932244.0,-0.022,-0.001,-1.0654,-0.027,-0.517,0.771
24945244.0,-0.021,0.0054,-1.0664,-0.149,0.032,0.588
24958244.0,-0.0229,0.0059,-1.0596,-0.393,0.032,0.832
24971244.0,-0.0146,0.0054,-1.0664,-0.027,0.032,0.832
24984244.0,-0.0186,0.0039,-1.0596,0.218,-0.212,0.527
24997244.0,-0.0151,0.0063,-1.0679,-0.088,0.032,0.71
25010244.0,-0.02,0.0034,-1.0562,-0.027,-0.029,0.527
25023244.0,-0.022,0.0024,-1.0625,-0.088,0.154,0.954
25036244.0,-0.0215,0.0029,-1.0615,-0.149,0.093,0.771
25049244.0,-0.021,0.0,-1.0576,0.156,-0.029,0.649
25062244.0,-0.0151,0.0039,-1.062,-0.088,0.032,0.527
25075244.0,-0.0146,0.0024,-1.0703,0.034,0.337,0.71
25088244.0,-0.0205,0.0039,-1.0562,0.034,0.032,0.588
25101244.0,-0.0186,0.0093,-1.0693,-0.698,0.032,0.71
25114244.0,-0.0234,0.0063,-1.0474,-0.149,-0.456,0.71
25127244.0,-0.0171,0.0044,-1.0693,-0.027,-0.151,0.649
25140244.0,-0.0186,0.0029,-1.0684,-0.088,-0.09,0.771
25153244.0,-0.0229,0.002,-1.062,-0.088,-0.09,0.466
25166244.0,-0.021,0.0039,-1.0664,-0.21,-0.212,0.832
25179244.0,-0.0229,0.0049,-1.0625,-0.271,0.032,0.71
25192244.0,-0.022,0.0024,-1.063,-0.088,-0.029,0.527
25205244.0,-0.0181,0.0029,-1.0625,-0.149,0.032,0.71
25218244.0,-0.0215,0.002,-1.0654,-0.21,-0.09,0.832
25231244.0,-0.019,0.0049,-1.0649,-0.21,-0.151,0.832
25244244.0,-0.0186,0.0034,-1.0615,0.156,-0.273,0.527
25257244.0,-0.0229,0.002,-1.0586,-0.21,-0.09,0.649
25270244.0,-0.0215,0.0049,-1.0586,0.095,-0.029,0.649
25283244.0,-0.0161,0.002,-1.0635,-0.088,0.032,0.832
25296244.0,-0.0166,0.0059,-1.0596,0.034,-0.029,0.771
25309244.0,-0.0215,0.0024,-1.063,0.095,-0.029,0.649
25322244.0,-0.0195,0.0049,-1.063,-0.149,0.032,0.649
