t,ax,ay,az,gx,gy,gz
789397245,0.0908,-0.0098,-1.0435,-0.104,0.433,-0.000
789410245,0.0903,-0.0127,-1.0806,-0.104,0.005,-0.183
789423245,0.0894,-0.0083,-1.0508,0.384,-0.300,-0.000
789436245,0.0928,0.0122,-1.0273,-2.973,1.592,-0.611
789449245,0.1421,-0.0649,-1.2383,-0.654,3.057,-0.427
789462245,0.0796,-0.0151,-1.0391,-0.043,-0.117,0.122
789475245,0.0923,-0.0137,-1.0640,-0.898,0.005,-0.244
789488245,0.1113,-0.0156,-1.0718,0.079,0.494,0.183
789501245,0.1040,0.0693,-0.9717,-3.156,3.546,-0.183
789514245,0.0659,0.0059,-1.0005,-2.363,1.470,-0.183
789527245,0.1060,-0.0054,-1.0874,-0.287,0.067,0.183
789540245,0.0464,-0.0005,-1.0020,1.483,-3.962,0.671
789553245,-0.0205,-0.0542,-0.8574,6.243,-7.380,1.281
789566245,0.1001,-0.0132,-1.0513,1.055,0.372,0.244
789579245,0.0845,-0.0137,-1.0508,-0.043,-0.300,0.061
789592245,0.0942,-0.0142,-1.0571,-0.043,0.189,-0.244
789605245,0.0962,-0.0078,-1.0601,0.018,-0.117,-0.183
789618245,0.0859,-0.0132,-1.0503,0.262,-0.483,0.061
789631245,0.0933,-0.0103,-1.0581,0.201,0.189,-0.122
789644245,0.0957,-0.0088,-1.0591,0.506,-0.178,0.061
789657245,0.0859,-0.0034,-1.0630,-2.241,1.592,-0.550
789670245,0.1230,-0.0166,-1.0967,0.201,0.677,-0.244
789683245,0.0869,-0.0146,-1.0552,-0.410,-0.056,-0.000
789696245,0.0781,-0.0039,-1.0342,0.140,-0.422,0.061
789709245,0.0864,-0.0161,-1.0532,0.201,0.250,0.122
789722245,0.0903,-0.0239,-1.0649,1.544,-0.849,0.305
789735245,0.0889,-0.0156,-1.0576,0.262,0.433,-0.183
789748245,0.0903,-0.0107,-1.0679,0.445,-1.154,0.122
789761245,0.0918,-0.0073,-1.0547,0.262,-0.056,-0.061
789774245,0.0928,-0.0107,-1.0581,0.018,-0.056,-0.000
789787245,0.0928,-0.0127,-1.0571,0.323,-0.239,0.305
789800245,0.0879,-0.0112,-1.0610,0.323,-0.239,-0.000
789813245,0.0884,-0.0156,-1.0596,0.567,-0.483,-0.000
789826245,0.0942,-0.0137,-1.0601,0.384,-0.300,-0.000
789839245,0.0947,-0.0112,-1.0581,0.018,-0.117,0.061
789852245,0.0908,-0.0122,-1.0605,0.201,0.005,0.122
789865245,0.0889,-0.0117,-1.0591,0.079,0.128,0.183
789878245,0.0874,-0.0122,-1.0581,-0.104,0.005,0.061
789891245,0.0879,-0.0063,-1.0591,-0.165,-0.117,-0.000
789904245,0.0937,-0.0112,-1.0586,-0.043,0.189,0.061
789917245,0.0928,-0.0107,-1.0605,-0.104,0.067,-0.122
789930245,0.0928,-0.0103,-1.0571,-0.104,-0.056,-0.061
789943245,0.0864,-0.0225,-1.0796,1.422,-1.032,0.244
789956245,0.0894,-0.0049,-1.0581,0.201,-0.056,0.122
789969245,0.0923,-0.0127,-1.0557,0.079,0.128,-0.061
789982245,0.0933,-0.0103,-1.0586,0.140,0.128,-0.000
789995245,0.0874,-0.0093,-1.0498,0.018,0.128,-0.000
790008245,0.0903,-0.0044,-1.0542,0.018,0.189,-0.183
790021245,0.0923,-0.0068,-1.0557,0.262,-0.178,-0.000
790034245,0.0947,-0.0146,-1.0601,0.689,-0.117,0.183
790047245,0.0898,-0.0142,-1.0679,2.398,-0.422,0.366
790060245,0.0903,-0.0073,-1.0610,3.130,0.067,0.244
790073245,0.0918,-0.0039,-1.0469,-0.898,-0.178,-0.366
790086245,0.0913,-0.0161,-1.0737,0.933,-0.178,0.061
790099245,0.0898,-0.0039,-1.0518,0.689,-0.056,0.183
790112245,0.0933,0.0020,-1.0342,-1.325,-0.056,0.305
790125245,0.0854,-0.0259,-1.0762,0.079,-0.178,0.366
790138245,0.1006,0.0073,-1.0591,1.177,-0.605,1.892
